statement,label,__index_level_0__
"The organization supports open doors, so anyone should be allowed to enter at any time.",equivocation,2238
"The fallacy of equivocation occurs when a key term or phrase in an argument is used in an ambiguous way, with one meaning in one portion of the argument and then another meaning in another portion of the argument.",equivocation,639
"The artist is groundbreaking, so her work must be unlike anything seen before.",equivocation,5599
"""Everyone is wearing the new skinny jeans from American Eagle. Are you?""",ad populum,967
"If global warming caused the 2014 Queensland heat wave , why wasn ' t it as severe as the 1972 Queensland heat wave ?",false causality,4899
"There ' s no trend in U.S. tornado damage ( in fact , 2012 to 2017 was below average ) . There ' s no trend in global droughts . Cold snaps in the U.S. are down but , unexpectedly , so are heatwaves . The bottom line is there ' s no solid connection between climate change and many major indicators of extreme weather that politicians keep talking about , such as hurricanes , tornadoes , droughts , rainfall and floods , despite Trudeau ' s claims to the contrary .",intentional,5706
"Aaron Rodgers says you should get State Farm Insurance on your home, car, motorcycle, or trailer!",fallacy of credibility,1683
There was a fight at school today. Violence is a growing problem in school.,faulty generalization,2248
"""Either you are for us, or you're against us!""",false dilemma,3886
The writer's struggles shape the conflict within their story.,intentional,5181
"I am voting for Pepitone for President because the rest of my family is voting for her, and I don't want to be the only one not doing so.",ad populum,5689
"If you don't agree with the curriculum, you must think education is useless.",fallacy of extension,155
My fridge isn't working. I should probably finish that book I've been reading.,fallacy of logic,2295
"Similarly , another list of the 15 most polluted cities in the world featured three cities from China , three cities from Saudi Arabia , and a whopping seven cities from India .",ad hominem,3290
"If you're against high taxes, you must be against funding any public service.",fallacy of extension,3753
Andanar is unfit for the position because he seems unqualified for it.,circular reasoning,1089
The songwriter's healing influences the positive tone of their music.,intentional,3501
"John R. Christy , an atmospheric scientist at the University of Alabama in Huntsville who is known for his skepticism about the seriousness of global warming , pointed out in an interview that 2014 had surpassed the other record-warm years by only a few hundredths of a degree , well within the error margin of global temperature measurements . "" Since the end of the 20th century , the temperature hasn ' t done much ,  Dr. Christy said . "" It ' s on this kind of warmish plateau .  Despite such arguments from a handful of scientists , the vast majority of those who study the climate say the earth is in a long-term warming trend that is profoundly threatening and caused almost entirely by human activity .",intentional,2319
"This software is excellent because it's widely used, and it's widely used because it's excellent.",circular reasoning,4904
"If he is knowingly promoting a falsehood , he is unelectable .",ad hominem,288
Why did the blond cross the road?  Because she saw a shoe sale!,faulty generalization,930
"""While you may have concerns about my votes about the environment, I can assure you that I am an open minded individual. What we should really discuss is my record on votes that expanded educational opportunities for all children.""",fallacy of relevance,4086
"At one point , Smith showed a slide of two charts that he said demonstrated how the rate of sea-level rise does not equal the sharp spike in the consumption of fossil fuels .",intentional,5638
"If we allow cadets to apply for encampment online, we'd save everyone lots of headaches. REPLY: No. We've always made cadets apply using a paper form.",fallacy of credibility,3154
The child did not do his chores so therefore all children are lazy.,faulty generalization,3002
"  Homosexuality is / ought to be morally wrong (moral property) because it is not normal (natural property).
or
Homosexuality is not normal (natural property); therefore, it is / ought to be morally wrong (moral property).",fallacy of credibility,5261
The climate change panel seems finally to have caught up with the gravity of the climate crisis .,intentional,5613
It's pointless to save money because inflation will devalue it anyway.,fallacy of logic,3130
"If everyone trusts this news source, it must be reliable.",ad populum,5714
"If you don't want to increase military spending, you must not care about national security.",fallacy of extension,942
The Tooth Fairy is real because nobody has proven she doesn't exist.' This is an example of which fallacy?,intentional,2354
"I began learning French, and my coworker got married. Learning French led to the wedding.",false causality,4606
The result : our economic output would lag while other countries continued to expand their GDPs .,false dilemma,5000
"Either you support my proposal, or you don't care about the community.",false dilemma,5408
"If you don't approve of this law, you must think laws are unnecessary.",fallacy of extension,1698
"If you're not a vegetarian, you must hate animals.",fallacy of extension,5460
You can't judge my unhealthy diet when some people live off fast food.,fallacy of relevance,3909
"If indoor smoking laws are passed for bars, the bars will go out of business since people who drink, smoke while they drink.",faulty generalization,3311
Global average temperatures over land have plummeted by more than 1C since the middle of this year _ their biggest and steepest fall on record .,intentional,4392
"Mr. Koonin finds this label particularly abhorrent , since "" the Nazis killed more than two hundred of my relatives in Eastern Europe. ",fallacy of relevance,4681
"This job offer is flexible, so I can do anything I want.",equivocation,985
"The couple of videos I watched were bad, so that creator must not make good content.",faulty generalization,3667
"If we are too scared to open the economy completely, then we'll have to keep it closed forever.",false dilemma,4850
"In the Southwest , it ' s water availability . On the Gulf Coast , it ' s hurricanes . In the East , it ' s flooding .",intentional,2954
"If you want gun reform, you must want to eliminate all guns.",fallacy of extension,5536
"""Let's look instead at what my opponent proposes to do with your hard earned money!""
This is an example of which type of logical fallacy?",fallacy of relevance,981
"Evolution cannot be true. If it were true, we'd all be smelly apes.",appeal to emotion,3295
"A domino-like cascade of melting ice , warming seas , shifting currents and dying forests could tilt the Earth into a "" hothouse  state beyond which human efforts to reduce emissions will be increasingly futile , a group of leading climate scientists has warned .",faulty generalization,3043
If I made a reference to a monk I would most likely be utilizing...,fallacy of credibility,5275
"Even in warm summers , there ' s plenty of ice over much of the Arctic Ocean .",faulty generalization,3217
"As we 've noted in this space , the idea of `` settled science '' peddled by environmentalists and politicians defies the history of science , which has seen repeated upheavals of previous forms of `` settled science . ''",fallacy of credibility,4147
You can't criticize my grammar when others don't even try to improve.,fallacy of relevance,3887
Why argue about my decision to quit when people are struggling just to find a job?,fallacy of relevance,4396
"Longer growing seasons and fewer frost events also benefit plant growth and crop production . As this column has repeatedly documented ( see articles here , here , and here , for example ) , global crops set new production records virtually every year as our planet modestly warms . If crop shortages cause national security threats and global warming increases crop production , then global warming benefits rather than jeopardizes national security .",faulty generalization,3917
"I shop at Natural Happy Sunshine Store (NHSS), which is much better than your grocery store because at NHSS everything is natural including the 38-year-old store manager's long gray hair and saggy breasts.",fallacy of credibility,4600
"If you're concerned about fast food, you must want to ban all convenience foods.",fallacy of extension,1457
"If you don't enjoy my favorite book, you must hate all books of that genre.",fallacy of extension,1395
"I started using a new pen, and my grades improved. The pen must be helping me get better grades.",false causality,264
"The crime rate went down after the city installed new streetlights, so the streetlights must have caused the decrease.",false causality,2748
Why trust his advice? He's been wrong so many times.,ad hominem,3169
"Everyone knows that Japanese DVD players are the best. After all, the outsell American players two-to-one.",ad populum,2692
All tall people are good basketball players.,faulty generalization,929
"It ' s a big problem , he says , when models can ' t retroactively "" predict  events that have already happened .",intentional,5439
"Telling viewers in the U.S. starkly that they ' re "" making this island disappear ,  as a report from CNN ' s John Sutter did in June 2015 , makes for good , blame-laden television .",appeal to emotion,5043
"The Church used to claim that giving 10% of your income to the Church will free a child's soul from Limbo into Heaven, so clearly giving money to the Church is a scam!",false causality,2400
"He now says : "" Anyone who tries to predict more than five to 10 years is a bit of an idiot , because so many things can change unexpectedly. ",ad hominem,2178
"If Houlton 's finding about these vast , previously unknown nitrogen stores holds true , then it would have an enormous impact on global warming predictions .",intentional,3555
"Since you want a strong economy, you must hate environmental protections.",fallacy of extension,246
Trying to be environmentally conscious is useless; one person can't change the whole planet.,fallacy of logic,1594
Many scientists are predicting the onset of two or three centuries of cooler weather  which would mean bigger glaciers .,fallacy of credibility,1758
Why care about my priorities when others lack any goals?,fallacy of relevance,5640
"""Guns are like hammersthey're both tools with metal parts that could be used to kill someone. And yet it would be ridiculous to restrict the purchase of hammersso restrictions on purchasing guns are equally ridiculous.",fallacy of logic,4054
"Changed handwriting, and traffic lights were upgraded. My handwriting influences planning.",false causality,923
Avoiding fast food is pointless; some people eat it regularly and stay fit.,fallacy of logic,3102
"We haven't found King David's tomb, so King David didn't really exist.",intentional,268
The author's travels shape the adventure in this book.,intentional,669
See the movie that everybody's talking about,ad populum,3662
"When it thaws and is released , that carbon may evaporate as methane , which is 34 times as powerful a greenhouse-gas warming blanket as carbon dioxide when judged on the timescale of a century ; when judged on the timescale of two decades , it is 86 times as powerful .",false dilemma,1910
"Rep. Bill Posey ( R-FL ) said scientists said in the 1970s that the Earth was cooling , a popular talking point of climate skeptics and the subject of a fake Time magazine cover that has become a meme .",ad hominem,3954
"If we put limits on the right to bear arms, soon all of our Constitutionally-given  rights will be taken away.",faulty generalization,1152
The filmmaker's identity influences the themes of freedom in their films.,intentional,5580
Why are you worried about your health when there are people with terminal illnesses?,fallacy of relevance,4347
President Trump said that he was proud of the children who participated in this year's Special Olympics. Those kids are a bunch of losers.,ad hominem,2696
"""Standardized dress should be used in schools because kids should wear standardized dress.""",circular reasoning,2591
"Access to cleaner water has increased ; mortality from ' Extreme Weather Events ' has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies .",intentional,4905
"If a major hurricane is approaching with a predicted storm surge of 10-14 feet , are you really going to worry about a sea level rise of 1 inch per decade ?",fallacy of relevance,1781
"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.
Bob: That may be, but you're such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64 ounces of soda yesterday.",ad hominem,2413
The filmmaker's resilience shines in the perseverance of characters.,intentional,2307
Executions are moral because we must have a death penalty to discourage violent crime.,circular reasoning,5190
"The website is credible because people use it, and people use it because it's credible.",circular reasoning,3949
Don't take his views seriously; he's only saying that for attention.,ad hominem,1915
"Wearing a hat indoors, the national debt decreased. My hat-wearing affects the economy.",false causality,612
"Bill and Jill are arguing about cleaning out their closets: 
Jill: ""We should clean out the closets. They are getting a bit messy."" 
Bill: ""Why, we just went through those closets last year. Do we have to clean them out everyday?"" 
Jill: ""I never said anything about cleaning them out every day. You just want too keep all your junk forever, which is just ridiculous.""",fallacy of extension,4614
"If you support regulating tech, you must want to control every aspect of our lives.",fallacy of extension,2267
The musician's success changes the interpretation of their latest song.,intentional,2533
"Everyone's going to this concert, so it must be amazing.",ad populum,39
"He would have learned that ­natural warm times , like now , bring great prosperity , increased longevity and less disease , whereas Jack Frost brings death , depopulation and economic stresses .",false causality,1898
"As a 2003 study published in the same Science journal put it , `` there will not be enough nitrogen available to sustain the high carbon uptake scenarios . ''",intentional,1649
"It was observed that persons who went out at night often developed the malady. So night air was assumed to be the cause of malaria, and elaborate precautions were taken to shut it out of sleeping quarters",false causality,5058
"A major wrong has been committed by the local government and several people go to protest it, waving signs and blocking traffic. ""Both sides are just as bad, rants your uncle. What fallacy has he committed?",faulty generalization,258
Temperatures are heading toward levels that many experts believe will pose a profound threat to both the natural world and to human civilization .,fallacy of credibility,2434
"Our product is the best because it's the best-selling product, and it sells the most because it's the best.",circular reasoning,847
"I'm not a doctor, but I play a doctor on TV, and I wouldn't dream of using anything but Tylenol for my toughest headaches. ",fallacy of credibility,2822
"Once a year or so , journalists from major news outlets travel to the Marshall Islands , a remote chain of volcanic islands and coral atolls in the Pacific Ocean , to report in panicked tones that the island nation is vanishing because of climate change .",intentional,5355
"If you're against mandatory voting, you must want no one to vote.",fallacy of extension,4916
"But in other parts of Antarctica , similar shelves are holding back enormous amounts of ice , and scientists fear that their future collapse could dump enough ice into the ocean to raise the sea level by many feet .",appeal to emotion,3692
"Without correlation , there can be no causation .",intentional,3399
"What I do know is that if a dirty bomb goes off on Wall Street and the winds are blowing this way, then I and much of this part of Brooklyn are possibly toast. Is that worth possible violations of the rights of some psycho-violent street thug? To me it is.",circular reasoning,1233
"""A baseball pitcher bought new socks before he pitched a winning game. The new socks caused a pitcher to throw faster! He will wear the new socks for EVERY game now.""

This is an example of...",false causality,1127
"I hope I presented my argument clearly.  Now, my opponent will attempt to refute my argument by his own fallacious, incoherent, illogical version of history.",ad hominem,5410
"Watching nature documentaries, my neighbor started a garden. My documentaries inspired them.",false causality,1967
"Medical expenses for the elderly continue to rise. If you don't buy long-term health insurance now, you probably won't be able to qualify once you're older. Sure, the insurance policy is a little expensive, but it's worth spending the money today so you don't go bankrupt in the future, becoming a burden to your family.",appeal to emotion,558
"""She's definitely a feminist; she watched the Democratic National Convention"" IS an example of this fallacy.",faulty generalization,904
There's no point in studying for exams since some people succeed without any education.,fallacy of logic,2614
"Wearing sandals, the lake's water level dropped. My footwear affects the lake.",false causality,484
Why shouldn't I gossip about Laura Jane? You know she talks about us every chance she gets.,fallacy of relevance,2211
"Image modelling shows that swaths of Osaka _ the commercial heart of a region whose GDP is almost as big as that of the Netherlands _ would disappear beneath the water in a 3C world , threatening the local economy and almost a third of the wider region ' s 19 million residents .",ad populum,1320
"If you're in favor of stricter immigration laws, you must be against all immigrants.",fallacy of extension,3112
"My teacher says the Earth is flat, so it definitely is flat.",ad hominem,2555
"Australia remains the only G20 country with no nuclear power yet has 30 per cent of the planet ' s in-ground uranium , mainly in South Australia .",intentional,7
"The bank says it's secure, so my money must be locked safely away.",equivocation,2315
Everyone being referred to as comrade.,ad populum,5165
"This process , in which dead zones grow like cancers , choking off marine life and wiping out fisheries , is already quite advanced in parts of the Gulf of Mexico and just off Namibia , where hydrogen sulfide is bubbling out of the sea along a thousand-mile stretch of land known as the "" Skeleton Coast. ",appeal to emotion,5693
Everyone is talking about this movie; it must be amazing.,ad populum,4166
Our soccer team was losing until I bought new shoes. We have not lost a game since I got my lucky shoes!,false causality,5093
"The number of people who eat organic food has increased, and the number of people who have healthy digestive systems has also increased. Therefore, eating organic food must be the cause of having a healthy digestive system",false causality,1450
"The solution might be easier said than done . Nearly 20 million acres in California , or an area about the size of Maine , will need to experience controlled burns to limit catastrophic wildfires , a January study from Nature Sustainability found .",fallacy of credibility,1201
"Saying that because one finds something difficult to understand, therefore it's not true",intentional,2426
You shouldn't criticize my lateness when others are always absent.,fallacy of relevance,2648
America: Love it or leave it,false dilemma,1814
"Running in the halls at school is against the rules. Therefore, the indoor track team should be written up.",faulty generalization,2726
"Water fluoridation affects the brain. Citywide, student's test scores began to drop five months after fluoridation began. The water fluoridation must have caused the student's test scores to drop.",false causality,773
A real video game would include set goals!,intentional,2274
"If we don't teach teens to work harder, the human race is doomed.",appeal to emotion,1011
We must choose between supporting the arts or funding education; we can't afford both.,false dilemma,3725
"The majority of people believe advertisers should spend more money on billboards, so billboards are objectively the best form of advertisement.",ad populum,4369
"Most people support this policy, so it has to be the right choice.",ad populum,1991
"All Jim Carrey movies are hilarious.
No horror movies are Jim Carrey movies.
Therefore, no horror movies are hilarious.",fallacy of logic,1277
Of course she's against taxes-she's wealthy.,ad hominem,1783
"Sometimes kids ride skateboards and fall off, breaking their arms or legs. Clearly, riding a skateboard is extremely dangerous. Don't you think skateboards should be banned?",appeal to emotion,4105
"If you disagree with the government, you must be anti-government.",fallacy of extension,446
"Since more accidents happen at night, nighttime must cause accidents.",false causality,880
"""There aren't any good restaurants in Sydney; I tried two and they were both horrible.",faulty generalization,5169
"Everyone who gets a college degree is better off.  All people who are better off as a result of getting a degree are good to have conversations with.  Therefore, everyone who gets a college degree is a good person to have a conversation with.",faulty generalization,2727
""" We are getting towards the end of the warm period , the peak of the warmth was about 5,000 years ago and we are heading for the next inevitable ice age ,  he told Sky News host Cory Bernardi .",intentional,781
"You call your cell phone provider to complain about how poor your cell phone battery life is after the recent software update. The representative, instead of responding to your concern, praises the provider's new unlimited text-messaging plans that are due to be released in the next month.",fallacy of relevance,2651
"My doctor is overweight, so I don't believe anything he tells me about improving my health.",ad hominem,5631
"Extremely hot days , when temperatures soar to 95 degrees Fahrenheit or higher , can be miserable .",appeal to emotion,1749
"Most importantly , the scenario that the burning of fossil fuel leads to catastrophe isn ' t part of
what either group asserts .",fallacy of logic,2126
"Lois and Jan did a ""snow dance"" one afternoon, and it snowed that night. They claimed to have brought the snow.",false causality,3433
"""Schools should provide nutritious lunches to students.""
""So schools should take money away from technology and necessary supplies in the classroom?""",fallacy of extension,3976
"Whatever is less dense than water will float, because such objects won't sink in water.",circular reasoning,2423
"If you're not taking risks, you're missing out.",false dilemma,5660
"Of course, your minister says he believes in God.  He would be unemployed otherwise.",ad hominem,4996
"A logical fallacy that compares minor misdeeds with major atrocities, suggesting that both are equally immoral.",fallacy of relevance,883
"""I know the exam is graded based on performance, but you should give me an A. My cat has been sick, my car broke down, and I've had a cold, so it was really hard for me to study!""",appeal to emotion,3200
Of course he's pro-business-he's a businessman himself.,ad hominem,1091
"Argues that ""we've always done it that way."" In other words, because something worked in the past, it is the correct thing to do.",fallacy of credibility,4192
"You need to go to the party with me, otherwise you'll just be bored at home.",false dilemma,4028
"Everyone is into this hobby, so it must be fun.",ad populum,531
"""There I was in the midst of thousands, and yet a perfect stranger; without home and without friends, in the midst of thousands of my own brethrenchildren of a common Father, and yet I dared not to unfold to any one of them my sad condition."" Check each literary term found in this quote:",appeal to emotion,3352
"I like my steak rare. But I don't care for aardvark steak, even though it's the rarest steak in the world.",equivocation,2438
You should give me a promotion. I have a lot of debt and am behind on my rent.,appeal to emotion,4701
My close examination of recent research has revealed that serious inconsistencies exist within the polar bear literature and between that literature and public statements made by some researchers .,fallacy of credibility,4599
No one can deny that [my theoretical orientation] is the only valid theoretical orientation,circular reasoning,3898
"The couple of recipes I tried were difficult, so cooking must be hard.",faulty generalization,4746
"If you advocate for cleaner energy, you must want to ban all fossil fuels overnight.",fallacy of extension,2290
Girls should not be allowed . to try out as kickers for school football teams because girls are not very athletic.,faulty generalization,1727
"If you oppose the use of plastic, you must want to ban all packaging materials.",fallacy of extension,610
"If you advocate for health and safety regulations, you must want to micromanage people's lives.",fallacy of extension,570
The musician's story influences the triumph in their anthems.,intentional,3523
"During the last glacial period , concentrations nearly reached the "" line of death  at 150 parts per million , below which plants die .",appeal to emotion,5446
"only man is rational
no women is man
Therefore, no women is rational",equivocation,343
We are the envy of the world .,appeal to emotion,5286
"You can start a family early, or build financial stability for a better family life in the future.",false dilemma,636
"If you support income redistribution, you must think everyone should be paid the same.",fallacy of extension,434
Of course he supports this policy; he's just trying to make money.,ad hominem,1903
"The Clinton administration ' s plan to turn forests in the West into pristine land free of human interference risked fueling "" wildfires reminiscent of the Tillamook burn , the 1910 fires and the Yellowstone fire ,  Zybach , who is based in Oregon , told Evergreen magazine in 1994 , when the NWFP came into effect .",fallacy of credibility,97
"All boys are sports fans.
Some bakers are boys.
Therefore, some bakers are not sports fans.",fallacy of logic,3065
"The monetary cost of damages has increased dramatically in recent decades , but that is due to increasing population , wealth and the amount of vulnerable infrastructure . It ' s not due to stronger storms .",false causality,4520
"Since you want stricter safety standards, you must want to ban all risk-taking.",fallacy of extension,2069
The painter's recovery journey adds depth to their hopeful works.,intentional,1537
"That combination is deadly : thanks to sea-level rise due to climate change , flooding is going to get much worse .",appeal to emotion,5178
"""My mom said that Colgate is the best toothpaste because almost 90% of dentists approve of this.""

What fallacy is being committed in the sentence above?",ad populum,3896
""" Even for 2°C of warming , more than a billion people may need to be relocated and in high-end scenarios , the scale of destruction is beyond our capacity to model with a high likelihood of human civilization coming to an end ,  the report notes .",fallacy of logic,5096
"CO2 is colorless , odorless and completely non-toxic . Plants depend on it to live and grow , and human beings draw some into their lungs with every breath they take to no ill effect whatsoever .",fallacy of relevance,3103
Being overweight leads to a shortened lifespan because it's unhealthy.,circular reasoning,1517
You shouldn't focus on my spending habits when people are deep in debt.,fallacy of relevance,965
"Either you volunteer for the cause, or you're selfish.",false dilemma,5101
"The number of government regulations has increased, and the number of small businesses has decreased. Therefore, government regulations must be the cause of the decline in small businesses",false causality,528
I guess I should buy my 12-year-old daughter an iPhone.  Everyone at her new school has one and I want her to fit in with the other kids.,ad populum,176
Look at that face! Would anyone vote for that? Can you imagine that as the face of our next president?,ad hominem,2470
"You're either moving forward, or you're falling behind.",false dilemma,4367
AttP 1: Jenny & Bert's Economy Conversation,ad populum,3358
"You're a vegetarian? You do realize that Hitler was a vegetarian, too?",ad hominem,4966
You said that 'runs' occur to statistically independent phenomena such as roulette wheel spins.,false causality,572
My father told me that the sky is green. So it must be the truth.,fallacy of credibility,5606
"If you're not a vegetarian, you must hate animals.",fallacy of extension,592
Moving the goalposts or making up exceptions when a claim is shown to be false.,intentional,4808
"If you support more environmental protection, you must hate business.",fallacy of extension,3254
"Dicky: So how do you think life began?
Ralphie: Simple.  Aliens from another planet seeded this planet with life billions of years ago.
Dicky: OK, but how did that alien life form begin?
Ralphie: Simple.  Aliens from another planet seeded that planet with life.
",circular reasoning,2374
You can tell that guy's Mexican - he's wearing a sombrero.,faulty generalization,5441
"His credentials as a climate expert are impeccable . He was a member of the U.S. delegation that established the Intergovernmental Panel on Climate Change ( IPCC ) and helped develop its First Assessment Report . He subsequently served as a U.S. delegate to the IPCC , and as an IPCC reviewer .",fallacy of credibility,4183
"The strongest hurricanes will come more often , and we ' ll have to invent new categories with which to describe them ; tornadoes will grow longer and wider and strike much more frequently , and hail rocks will quadruple in size .",appeal to emotion,3413
"If you care about poverty, you must think wealth is inherently bad.",fallacy of extension,2208
Cato Institute scientists Patrick Michaels and Chip Knappenberger have noted the climate models have been over-hyping warming for decades . Scientist John Christy of the University of Alabama-Huntsville has testified before Congress on the matter . Christy ' s research has shown climate models show 2.5 times more warming in the bulk atmosphere than has been observed . ...,fallacy of credibility,5144
"Mr. Equalminded's idea for implementing affirmative action in the university's admission process is complete folly. He says he wants the student body to represent diversity in the community. But that's ridiculous. I suppose this means we'll have to throw out our academic standards while were at it. After all, if we're going to let students into our prestigious institution just because of their gender of the color of their skin, then what's going to happen to our reputation?",fallacy of relevance,2492
My opponent in the election keeps claiming that he wants to give tax credits to poor people. That means that he wants to raise taxes for the middle class.,fallacy of extension,4991
We can't believe what he says out of that ugly mouth of his.,ad hominem,383
"The strategy is correct because it's followed, and it's followed because it's correct.",circular reasoning,852
"""I am a great leader because I make great leadership decisions. The proof that I make great leadership decisions is that I am a great leader, and that's what leaders do."" What is this?",circular reasoning,1880
She's biased; she has family in that industry.,ad hominem,370
"Billy - ""Spanish is easy."" Bobby - ""Don't listen to Billy; he failed Spanish class last year. """,ad hominem,5201
Species thrive when it is warm .,fallacy of logic,4473
"I saw a child misbehaving in a store, so kids today must be undisciplined.",faulty generalization,4998
The Alaska Climate Research Center reports almost no evidence of warming trends in Alaska since 1977 .,intentional,1105
"""My cousin said her Math class was hard. The one that I'm in is hard too. All Math classes must be hard.""
This statement is an example of¦",faulty generalization,3400
"All cats are felines.
All dogs are canines.
Therefore, all cats are canines.",fallacy of logic,2361
Don't take his advice on marriage; he's been divorced three times.,ad hominem,4661
"The phrase, ""Almost everyone that was asked said that McDonalds is better than Burger King, so it must be true,"" represents which fallacy?",ad populum,1336
The artist's identity struggles shape the themes of their art.,intentional,2189
Freedom of speech means I should be free to say anything without consequence.,equivocation,5318
Children who play violent video games act more violently than those who don't.,false causality,5223
You say that Coach Smith pressured teachers to give his students passing grades. But don't you agree that athletics are important to schools? Don't they build character?,fallacy of relevance,5733
"Research indicates that if unchecked , increased CO2 levels could cause pollution-related deaths to increase by tens of thousands , and lead to the slowing of human cognition ( especially when you take into account the fact that CO2 levels tend to be higher indoors in cities ) . Carbon dioxide also contributes to warming that causes sea-level rise , searing heat waves , and superstorms .",appeal to emotion,2246
"According to the United Nations ' Intergovernmental Panel on Climate Change , there has been no systematic increase in the frequency of extreme weather events , and the ongoing rise in sea level that began with the end of the ice age continues with no great increase in magnitude .",fallacy of credibility,3871
"President Obama hiked to Exit Glacier in Alaska last week , with photographers in tow , to send the world a message :",fallacy of relevance,5616
"The solution is "" to get good fire on the ground and whittle down some of that fuel load ,  he told ProPublica in August .
"" It ' s just ¦ well ¦ it ' s horrible .",fallacy of credibility,1171
"I'm raising money to help cure XYZ disease. If you do not donate, you are part of the problem.",false dilemma,3425
The musician's battles shape the theme of resilience in songs.,intentional,3557
"You're either optimistic, or you're a pessimist.",false dilemma,1422
It takes faith to believe in God just like it takes faith to believe in the Easter Bunny -- but at least the Easter Bunny is based on a creature that actually exists!,appeal to emotion,2686
I met a tall man who loved to eat cheese. Now I believe that all tall people like cheese.,faulty generalization,3098
"In an example used by Sigmund Freud in The Interpretation of Dreams, a man accused by his neighbor of having returned a kettle in a damaged condition offered three arguments:
That he had returned the kettle undamaged;
That it was already damaged when he borrowed it;
That he had never borrowed it in the first place.
",fallacy of logic,4233
"An NSA whistle-blower, William Binney, said last week that the agency's surveillance activities put us on 'a slippery slope toward a totalitarian state'",faulty generalization,4807
"After Sally presents an eloquent and compelling case for a more equitable taxation system, Sam asks the audience whether we should believe anything from a woman who isn't married, was once arrested, and smells a bit weird.",ad hominem,1464
"A local politician plans to expand the municipality's cycle network and to add several new speed cameras in densely populated areas. Their opponent says, ""They want us all to give up driving forever. They're punishing the honest car owners and commuters that help pay these politicians' salaries.""",fallacy of extension,874
"Everyone's buying this smartphone, so it must be the best model.",ad populum,2297
The songwriter's past love influences the passion in their songs.,intentional,2643
"Access to cleaner water has increased ; mortality from ' Extreme Weather Events ' has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies .",intentional,3206
"If you don't recycle, then you're part of the pollution problem.",false dilemma,5017
"Most people think this is the best car, so it has to be true.",ad populum,1251
I saw a news story about crime in the city; the whole city must be dangerous.,faulty generalization,3106
They failed to predict a decade-long pause in global temperatures .,intentional,840
"This product is a bestseller, so it's obviously the best one on the market.",ad populum,4066
Keeping a dog as a pet is every bit as evil as human slavery.,fallacy of relevance,581
SM 7: No global warming happening,ad populum,204
"The song lyrics must be about heartbreak, given the singer's recent breakup.",intentional,1641
"You either follow the rules, or you're a rebel.",false dilemma,2014
"This investment is smart because experts recommend it, and they recommend it because it's smart.",circular reasoning,905
Of course he's against it; he has nothing to lose.,ad hominem,631
You can't trust her opinion on health; she's not even in shape.,ad hominem,4096
Appealing to popularity or the fact that many people do something as an attempted form of validation,ad populum,1974
"The one book I read on that subject was confusing, so the subject must be hard.",faulty generalization,162
"All children are innocent, so no child could ever do wrong.",equivocation,4155
"Christina's shoes are superior, because they're made from one hundred percent snakeskin, not synthetic materials.",fallacy of credibility,4246
"In fact , the magnitude of their historical data adjustments , that removed their cyclical temperature patterns , are totally inconsistent with published and credible U.S. and other temperature data .",intentional,5209
"the phrase ""Ninety percent of all people surveyed said that McDonalds is better than Burger King so it must be true."" represents which fallacy?",ad populum,4732
"Drinking more water, my team changed their coach. My hydration influences the team.",false causality,617
"Chihuahuas are good inside dogs. German Shepherds are dogs; therefore, German Shepherds would be good inside dogs, too.",faulty generalization,875
"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn't be more wrong; the music industry is doing just fine! I can't believe you think the government should be allowed to regulate what I share with my friends. No one wants a world where I can't loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",fallacy of extension,1431
"President Trump has claimed that scientists stopped referring to global warming and started calling it climate change because "" the weather has been so cold  in winter .",intentional,2973
"Dave: For five generations, the men in our family went to Stanford and became doctors, while the women got married and raised children.  Therefore, it is my duty to become a doctor.
Kaitlin: Do you want to become a doctor?
Dave: It doesn't matter -- it is our family tradition.  Who am I to break it?
",fallacy of credibility,3919
Natural variability is simply too large . This should not be surprising given that humanity ' s greenhouse gas emissions have caused only a1 percent change in the natural energy flows coursing through the climate system .,ad populum,547
"If you get in a car wreck, and the fault of the wreck is a teenage boy at ECR, believing all teenage boys at ECR are bad drivers is an example of:",faulty generalization,4270
